subject,body,category,priority,channel
Would love a custom reporting feature,This is the third time I'm reaching out about this. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap? Best.,Feature Request,Medium,Web Form
Cancelling because features I need are missing,Honestly this is really frustrating. I need this cancelled today. I do not want to be billed again under any circumstances. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Chat
Cannot update my payment information,My autopay failed this month even though my card is valid and hasn't expired. Now I'm getting overdue notices. I appreciate your help.,Payment Problem,High,Chat
Invoice shows incorrect amount,Thanks in advance for your help. Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment.,Payment Problem,High,Chat
I want my payment reversed,"Following up again as I haven't heard back. Hi, I was charged twice this month and I need a refund for the duplicate transaction. Please look into this as soon as possible. Thanks.",Refund Request,High,Web Form
Sign-in loop – keeps redirecting to login,Please treat this as a high priority. I have been trying to sign in for the past hour and keep getting an incorrect password error even though I just reset it. I appreciate your help.,Login Issue,Urgent,Chat
Unauthorized API calls using my credentials,I hope you can assist me quickly. Urgent: our entire organization account appears to have been accessed by an unknown party. Please escalate. I expect to hear back within 24 hours.,Security Concern,High,Chat
Session keeps expiring immediately,"Please treat this as a high priority. My account seems to be locked. I've only entered my password incorrectly twice, not ten times. Looking forward to a resolution.",Login Issue,High,Chat
Request for API rate limit increase,I'm not sure who to contact so I'm trying here. Scheduled reports that are automatically emailed on a set cadence would save our team a lot of manual work. Regards.,Feature Request,Medium,Email
Unexpected charge on my statement,I'm writing to urgently request help. My card was declined even though I have sufficient funds and the card is active. Please help. Thank you for your time.,Payment Problem,Urgent,Phone
Dropdown menu disappears on click,"I'm very disappointed with the service. In dark mode, all the text in the Settings section becomes invisible — black text on dark background.",Bug Report,High,Email
API response times are unacceptable,Honestly this is really frustrating. My dashboard is taking over 3 minutes to load. This is unworkable for my team. Best.,Performance Issue,High,Social Media
Suggestion: bulk export option,Keyboard shortcuts would massively improve our workflow. Even basic ones like save or navigate tabs. Please respond ASAP.,Feature Request,Low,Web Form
Button not responding on dashboard,My dashboard data is completely blank even though I can see records in the backend. Something is broken. Please respond ASAP.,Bug Report,Medium,Phone
Refund status inquiry,Thanks in advance for your help. I was overcharged by $49 compared to my plan price. Please refund the difference. I appreciate your help.,Refund Request,High,Email
App is extremely slow today,This is the third time I'm reaching out about this. The application has been incredibly slow all morning. Every action takes 10+ seconds to complete. Thank you for your time.,Performance Issue,Medium,Web Form
Reports taking too long to generate,The search function is very slow. It takes up to 15 seconds to return results for a simple query.,Performance Issue,High,Chat
I need a refund ASAP,Please treat this as a high priority. I see two identical charges from your company on my bank statement. Please refund the extra one immediately.,Refund Request,Medium,Phone
Would love a drag-and-drop interface,We'd love a native desktop app for Mac and Windows. The web app is good but a desktop version would be better.,Feature Request,Medium,Chat
I need a refund ASAP,"I'm not sure who to contact so I'm trying here. After I downgraded my plan last week, I still got billed for the higher tier. Please correct this and refund me. Looking forward to a resolution.",Refund Request,High,Email
Would love a custom reporting feature,I'm not sure who to contact so I'm trying here. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap?,Feature Request,Low,Chat
